epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,418.118,0.79776,0.67067,0.94553,0.78387,0.73411,0.81639,0.61415,0.9569,0.76894,0.96956,0.000509011,0.000509011,0.000509011
60,424.934,0.82281,0.69301,0.9553,0.79356,0.84167,0.84438,0.63469,0.98357,0.71413,0.99293,0.000505476,0.000505476,0.000505476
61,431.673,0.85589,0.71314,0.96975,0.80575,0.79287,0.84215,0.64362,0.94799,0.71569,0.97902,0.000501942,0.000501942,0.000501942
62,438.658,0.85492,0.69949,0.95068,0.84604,0.80745,0.84582,0.62894,0.98903,0.75415,1.00031,0.000498408,0.000498408,0.000498408
63,445.989,0.80173,0.64492,0.93258,0.86763,0.79791,0.82737,0.61747,0.9738,0.7487,0.99999,0.000494873,0.000494873,0.000494873
64,452.788,0.7966,0.63236,0.9289,0.84601,0.78223,0.83034,0.61371,0.9791,0.7301,1.00144,0.000491339,0.000491339,0.000491339
65,459.588,0.83309,0.66615,0.95666,0.86661,0.75692,0.83998,0.59843,1.00849,0.76335,1.01562,0.000487805,0.000487805,0.000487805
66,466.248,0.83036,0.6532,0.94517,0.81801,0.80114,0.832,0.60239,0.96836,0.75403,1.00382,0.000484271,0.000484271,0.000484271
67,473.456,0.78418,0.60836,0.93084,0.77554,0.77974,0.8197,0.60542,0.95582,0.78744,0.98217,0.000480736,0.000480736,0.000480736
68,480.35,0.8124,0.60256,0.92382,0.87202,0.7731,0.87101,0.65238,0.94341,0.73487,0.96018,0.000477202,0.000477202,0.000477202
69,487.27,0.79365,0.63528,0.93374,0.81461,0.8717,0.85333,0.6326,0.94682,0.75177,0.9778,0.000473668,0.000473668,0.000473668
70,493.99,0.81924,0.69279,0.97685,0.83964,0.84747,0.87269,0.64333,0.94422,0.71906,0.97502,0.000470133,0.000470133,0.000470133
71,500.819,0.81319,0.6676,0.95254,0.83204,0.80331,0.86094,0.63295,0.96562,0.76542,0.9829,0.000466599,0.000466599,0.000466599
72,508.291,0.80306,0.63105,0.93413,0.81594,0.81758,0.82982,0.62167,0.91772,0.75546,0.96511,0.000463065,0.000463065,0.000463065
73,515.052,0.78498,0.643,0.93654,0.82009,0.86318,0.8676,0.64,0.93679,0.72986,0.97904,0.00045953,0.00045953,0.00045953
74,521.939,0.81804,0.64174,0.952,0.79783,0.83283,0.86308,0.65262,0.94344,0.717,0.98918,0.000455996,0.000455996,0.000455996
75,528.85,0.79685,0.62655,0.95132,0.84828,0.82766,0.86773,0.64922,0.94681,0.69907,0.98589,0.000452462,0.000452462,0.000452462
76,535.696,0.81829,0.66032,0.95248,0.7966,0.8332,0.83354,0.61199,1.00626,0.7249,1.00877,0.000448928,0.000448928,0.000448928
77,542.937,0.81085,0.64168,0.9498,0.84508,0.84416,0.85621,0.64757,0.9435,0.70782,0.96367,0.000445393,0.000445393,0.000445393
78,549.721,0.7753,0.60567,0.93646,0.88094,0.86066,0.88485,0.65358,0.94775,0.67691,0.98074,0.000441859,0.000441859,0.000441859
79,556.561,0.77437,0.61117,0.93398,0.84257,0.86346,0.87919,0.65258,0.94656,0.69413,0.97053,0.000438325,0.000438325,0.000438325
80,563.33,0.76623,0.59615,0.92933,0.84722,0.84183,0.87073,0.64845,0.95167,0.73589,0.98079,0.00043479,0.00043479,0.00043479
81,570.875,0.80034,0.66583,0.96135,0.85279,0.82304,0.84786,0.64065,0.97036,0.73339,0.98648,0.000431256,0.000431256,0.000431256
82,577.817,0.79253,0.62825,0.93937,0.85695,0.86386,0.87761,0.64621,0.97963,0.70898,0.99659,0.000427722,0.000427722,0.000427722
83,584.595,0.7577,0.57314,0.92246,0.86042,0.80274,0.86204,0.63381,0.96015,0.71346,0.99472,0.000424187,0.000424187,0.000424187
84,591.304,0.7821,0.60332,0.92822,0.80619,0.82773,0.84569,0.62812,0.96323,0.70388,0.99872,0.000420653,0.000420653,0.000420653
85,598.005,0.71042,0.55214,0.90428,0.82792,0.79076,0.8562,0.63029,0.96572,0.72401,0.99553,0.000417119,0.000417119,0.000417119
86,605.377,0.78,0.59493,0.94063,0.85251,0.79072,0.85038,0.62477,0.92538,0.70855,0.974,0.000413584,0.000413584,0.000413584
87,612.104,0.75641,0.63923,0.93833,0.86554,0.77991,0.8538,0.63375,0.9712,0.74348,0.98697,0.00041005,0.00041005,0.00041005
88,618.884,0.76967,0.61051,0.92605,0.86878,0.83357,0.87437,0.655,0.92877,0.71945,0.95889,0.000406516,0.000406516,0.000406516
89,625.721,0.80298,0.61704,0.95751,0.86191,0.78903,0.84631,0.62764,0.963,0.69465,0.97995,0.000402982,0.000402982,0.000402982
90,632.74,0.75214,0.58407,0.93045,0.82865,0.83794,0.85344,0.64996,0.93448,0.69557,0.96838,0.000399447,0.000399447,0.000399447
91,639.57,0.73655,0.54415,0.9058,0.84586,0.87322,0.87849,0.65603,0.94479,0.66826,0.97609,0.000395913,0.000395913,0.000395913
92,646.473,0.7342,0.54019,0.89495,0.86632,0.82382,0.86037,0.66848,0.94147,0.67293,0.97272,0.000392379,0.000392379,0.000392379
93,653.248,0.78082,0.63628,0.94793,0.88573,0.85238,0.87712,0.65746,0.9587,0.67631,0.9746,0.000388844,0.000388844,0.000388844
